d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,id_asenta_cpcons
83000,Hermosillo Centro,Colonia,Hermosillo,Sonora,Hermosillo,1
83010,5 de Mayo,Colonia,Hermosillo,Sonora,Hermosillo,8
83010,Country Club,Colonia,Hermosillo,Sonora,Hermosillo,9
83010,Lomas Pitic,Colonia,Hermosillo,Sonora,Hermosillo,10
83010,Mediterráneo Residencial,Colonia,Hermosillo,Sonora,Hermosillo,1705
83010,Campestre Residencial,Colonia,Hermosillo,Sonora,Hermosillo,2117
83010,Cerrada el Encanto,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2757
83010,Los Igualados,Colonia,Hermosillo,Sonora,Hermosillo,2776
83010,Los Altos Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,3019
83010,Country Club Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,3156
83013,PEMEX,Colonia,Hermosillo,Sonora,Hermosillo,2111
83013,Ferrocarrilera,Colonia,Hermosillo,Sonora,Hermosillo,2115
83015,Rinconada de Nuevo León,Colonia,Hermosillo,Sonora,Hermosillo,11
83016,Cruz Gálvez,Colonia,Hermosillo,Sonora,Hermosillo,12
83020,Las Amapolas,Colonia,Hermosillo,Sonora,Hermosillo,14
83029,La Metalera,Colonia,Hermosillo,Sonora,Hermosillo,15
83030,Cañada de los Negros,Colonia,Hermosillo,Sonora,Hermosillo,16
83040,Coloso,Colonia,Hermosillo,Sonora,Hermosillo,17
83040,El Mariachi,Colonia,Hermosillo,Sonora,Hermosillo,18
83050,El Ranchito,Colonia,Hermosillo,Sonora,Hermosillo,20
83050,Rinconada de la Cruz,Colonia,Hermosillo,Sonora,Hermosillo,2112
83050,Bella Vista,Colonia,Hermosillo,Sonora,Hermosillo,2940
83060,Los Naranjos,Colonia,Hermosillo,Sonora,Hermosillo,21
83067,Universidad,Colonia,Hermosillo,Sonora,Hermosillo,23
83068,Revolución II,Colonia,Hermosillo,Sonora,Hermosillo,24
83068,Los Sauces,Colonia,Hermosillo,Sonora,Hermosillo,517
83070,Del Razo,Colonia,Hermosillo,Sonora,Hermosillo,25
83070,San Juan,Colonia,Hermosillo,Sonora,Hermosillo,26
83070,Cerrada Norwalk,Colonia,Hermosillo,Sonora,Hermosillo,2765
83078,Revolución I,Colonia,Hermosillo,Sonora,Hermosillo,28
83079,Casa Blanca,Colonia,Hermosillo,Sonora,Hermosillo,29
83079,Cerro de la Campana,Colonia,Hermosillo,Sonora,Hermosillo,2216
83079,Villa del Pitic,Colonia,Hermosillo,Sonora,Hermosillo,2249
83079,Privada Casa Blanca,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2745
83079,Chino Abelardo,Colonia,Hermosillo,Sonora,Hermosillo,2769
83080,La Matanza,Colonia,Hermosillo,Sonora,Hermosillo,30
83089,Las Pilas,Colonia,Hermosillo,Sonora,Hermosillo,31
83090,Hacienda de la Flor,Colonia,Hermosillo,Sonora,Hermosillo,32
83100,Apolo,Colonia,Hermosillo,Sonora,Hermosillo,33
83100,Atardeceres,Colonia,Hermosillo,Sonora,Hermosillo,34
83100,Ley 57,Colonia,Hermosillo,Sonora,Hermosillo,35
83100,Popular,Colonia,Hermosillo,Sonora,Hermosillo,36
83100,Prados del Sol,Colonia,Hermosillo,Sonora,Hermosillo,37
83100,Misión del Real,Fraccionamiento,Hermosillo,Sonora,Hermosillo,525
83100,Misión del Sol,Fraccionamiento,Hermosillo,Sonora,Hermosillo,526
83100,San Diego,Fraccionamiento,Hermosillo,Sonora,Hermosillo,566
83100,Prados de Bugambilias,Colonia,Hermosillo,Sonora,Hermosillo,1694
83100,Misión San Ignacio,Fraccionamiento,Hermosillo,Sonora,Hermosillo,2118
83100,Residencial Kino,Colonia,Hermosillo,Sonora,Hermosillo,2128
83100,Cerrada del Carmen,Colonia,Hermosillo,Sonora,Hermosillo,2130
83100,Privada Córdoba,Colonia,Hermosillo,Sonora,Hermosillo,2759
83100,Privada Robles,Colonia,Hermosillo,Sonora,Hermosillo,2761
83100,"15 ""A""",Colonia,Hermosillo,Sonora,Hermosillo,3236
83103,CNOP,Colonia,Hermosillo,Sonora,Hermosillo,39
83103,Lomas de Madrid,Colonia,Hermosillo,Sonora,Hermosillo,40
83104,López Portillo,Colonia,Hermosillo,Sonora,Hermosillo,41
83104,Altos de Aragón,Fraccionamiento,Hermosillo,Sonora,Hermosillo,125
83104,Alta Firenze Residencial,Fraccionamiento,Hermosillo,Sonora,Hermosillo,236
83104,Alta Firenze Norte,Fraccionamiento,Hermosillo,Sonora,Hermosillo,277
83104,Valle de Santa Mónica,Colonia,Hermosillo,Sonora,Hermosillo,289
83104,San Lorenzo,Fraccionamiento,Hermosillo,Sonora,Hermosillo,452
